text,label
Free ringtone download! Click here now,1
Congratulations! You've won a free iPhone,1
Meeting minutes for Q3 project review,0
Hi team, please find attached the quarterly report,0
Urgent: Your account has been suspended,1
Your package delivery is scheduled today,0
Get rich quick! Invest in our cryptocurrency,1
Hello, I wanted to discuss the marketing strategy,0
50% off all products - Limited time offer!,1
Can we schedule a call to discuss the proposal?,0
Exclusive casino bonus - Play now!,1
Invoice for your recent purchase attached,0
Increase your credit limit instantly,1
Project update: We're on track for delivery,0
Claim your free gift card now,1
Performance review feedback is ready,0
Hot singles in your area want to meet you,1
Weekly team sync scheduled for Friday,0
Make money from home - No experience needed,1
Software development sprint planning notes,0
